rider,course,distance_m,power_w
baseline,Tokyo,20704,348
baseline,Tokyo,20768,347
baseline,Tokyo,20832,346
baseline,Tokyo,20895,345
baseline,Tokyo,20959,344
baseline,Tokyo,21023,343
baseline,Tokyo,21086,343
baseline,Tokyo,21150,342
baseline,Tokyo,21213,341
baseline,Tokyo,21277,340
baseline,Tokyo,21340,340
baseline,Tokyo,21404,339
baseline,Tokyo,21467,338
baseline,Tokyo,21530,338
baseline,Tokyo,21593,337
baseline,Tokyo,21656,336
baseline,Tokyo,21720,336
baseline,Tokyo,21783,335
baseline,Tokyo,21846,335
baseline,Tokyo,21909,334
baseline,Tokyo,21972,334
baseline,Tokyo,22035,333
baseline,Tokyo,22096,333
baseline,Tokyo,22157,332
baseline,Tokyo,22218,332
male_tt,Tokyo,11,449
male_tt,Tokyo,70,449
male_tt,Tokyo,134,449
male_tt,Tokyo,200,449
male_tt,Tokyo,268,449
male_tt,Tokyo,337,449
male_tt,Tokyo,406,449
male_tt,Tokyo,477,449
male_tt,Tokyo,548,449
male_tt,Tokyo,619,449
male_tt,Tokyo,690,449
male_tt,Tokyo,761,449
male_tt,Tokyo,833,449
male_tt,Tokyo,904,449
male_tt,Tokyo,976,449
male_tt,Tokyo,1047,449
male_tt,Tokyo,1119,449
male_tt,Tokyo,1190,449
male_tt,Tokyo,1262,449
male_tt,Tokyo,1334,449
male_tt,Tokyo,1405,449
male_tt,Tokyo,1477,449
male_tt,Tokyo,1548,449
male_tt,Tokyo,1620,449
male_tt,Tokyo,1692,449
male_tt,Tokyo,1765,449
male_tt,Tokyo,1841,449
male_tt,Tokyo,1919,449
male_tt,Tokyo,1998,449
male_tt,Tokyo,2078,449
male_tt,Tokyo,2158,449
male_tt,Tokyo,2239,449
male_tt,Tokyo,2320,449
male_tt,Tokyo,2401,449
male_tt,Tokyo,2485,449
male_tt,Tokyo,2572,449
male_tt,Tokyo,2661,449
male_tt,Tokyo,2753,449
male_tt,Tokyo,2845,449
male_tt,Tokyo,2938,449
male_tt,Tokyo,3031,449
male_tt,Tokyo,3124,449
male_tt,Tokyo,3218,449
male_tt,Tokyo,3311,449
male_tt,Tokyo,3403,449
male_tt,Tokyo,3496,449
male_tt,Tokyo,3588,449
male_tt,Tokyo,3681,449
male_tt,Tokyo,3773,449
male_tt,Tokyo,3866,449
male_tt,Tokyo,3958,449
male_tt,Tokyo,4050,449
male_tt,Tokyo,4143,449
male_tt,Tokyo,4235,449
male_tt,Tokyo,4328,449
male_tt,Tokyo,4420,449
male_tt,Tokyo,4512,449
male_tt,Tokyo,4603,449
male_tt,Tokyo,4694,449
male_tt,Tokyo,4785,449
male_tt,Tokyo,4875,449
